id_number,space_group
1014111,164
1014138,187
1014160,164
1014168,140
10142,71
1014204,28
1014212,229
1014214,221
1014219,221
1014226,63
1014227,63
1014229,139
1014230,221
1014231,139
1014244,156
1014246,194
1014251,156
1014252,63
1014257,63
1014261,141
1014264,225
1014265,136
1014281,65
1014286,193
1014287,123
1014296,63
1014297,198
1014298,65
10143,216
1014303,139
1014307,194
1014311,225
1014316,221
1014318,206
1014324,74
1014332,123
1014333,19
1014339,96
1014342,40
1014345,176
1014347,220
1014358,62
1014365,62
1014366,136
1014369,159
1014373,227
1014379,227
10144,191
1014565,63
10148,221
1014873,71
10149,225
1014910,24
1014993,205
1014995,166
1015,194
1015026,9
1015061,71
1015065,159
1015076,7
10152,129
10154,216
10155,14
1015567,3
1015582,60
1015612,180
10157,225
1015780,227
1015811,71
1015814,71
10159,225
1015908,154
1016,141
1016048,11
1016058,46
1016059,141
1016063,1
1016069,1
1016070,4
1016071,176
1016073,194
1016076,227
1016078,229
1016081,74
1016092,19
1016095,9
10161,187
1016106,63
1016107,227
1016108,33
1016109,63
1016111,19
1016119,6
1016120,62
1016136,92
1016144,8
1016145,8
1016146,14
1016152,62
1016153,85
1016154,62
1016155,12
1016165,7
1016190,15
1016197,122
10162,127
1016200,122
1016212,14
1016213,4
1016214,63
1016216,25
1016217,25
1016218,25
1016219,25
1016220,25
1016221,25
1016222,25
1016223,25
1016224,25
1016225,25
1016226,25
1016227,221
1016228,25
1016229,25
1016231,25
1016233,25
1016234,25
1016235,25
1016236,25
1016237,25
1016238,25
1016239,25
1016240,99
1016241,25
1016242,25
1016243,25
1016250,25
1016252,187
1016253,187
1016254,25
1016256,187
1016257,25
10068,71
1006815,167
1006878,65
1006880,216
1006882,216
1006883,221
1013536,221
1013537,221
1013540,221
1013541,221
1013542,221
1013543,221
1009592,216
1009593,216
1009594,63
1009596,221
10096,186
1009601,187
1009639,216
10087,139
1008702,216
1008726,216
1008727,216
1008728,229
1008733,194
1008734,225
1003314,2
1003315,14
1003316,87
1003317,8
1003318,6
1003319,7
1003320,14
1003322,59
1014444,60
1014454,164
1014460,221
1014462,71
1014478,72
1014509,150
1014558,176
1016260,25
1016262,187
1016263,25
1016264,187
1016265,187
1016266,38
1016267,38
1016268,187
1016269,187
1016270,187
1016271,187
1016272,187
1016273,38
1016274,187
1016275,38
1016276,187
1016277,187
1016278,38
1016279,187
1016280,38
1016281,187
1016282,187
1016283,25
1016284,187
1016285,187
1016287,25
1016293,187
1016296,123
1016298,187
10163,140
1016300,38
1016301,187
1016304,38
1016305,187
1016310,187
1016316,187
1016317,187
1016318,38
1016319,187
1016321,38
1016322,38
1016323,187
1016325,187
1016326,187
1016327,187
1016329,123
1016330,123
1016331,187
1016332,38
1016333,187
1016334,38
1016337,38
1016338,38
1016342,38
1016343,38
1016346,187
1016352,38
1016353,38
1016359,38
1016372,38
1016377,38
10164,140
1016401,38
1016422,38
1016428,38
1016429,38
1016442,38
1016475,38
10165,140
1016514,38
1016549,38
1016551,38
1016552,38
1016556,5
1016559,123
1016560,38
1016566,38
1016569,38
1016570,38
1016571,38
1016572,38
1016576,38
1016580,38
1016582,38
1016585,38
1016587,38
1016588,38
1016592,38
1016593,38
1016595,38
1016596,38
1016597,38
1016598,38
1016599,38
10166,140
1016600,38
1016601,38
1016603,38
1016604,38
1016605,38
1016606,38
1016607,38
1016609,38
1016614,38
1016616,38
1016617,38
1016618,38
1016619,38
1016620,38
1016621,38
1016622,38
1016623,38
1016624,38
1016625,38
1016626,38
1016628,38
1016629,38
1016630,38
1016632,38
1016635,38
1016636,38
1016637,38
1016638,38
1016639,123
1016640,38
1016641,38
1016642,38
1016643,38
1016645,38
1016646,38
1016647,38
1016648,38
1016650,123
1016651,38
1016652,123
1016653,38
1016654,38
1016655,38
1016658,38
1016659,38
1016660,38
1016661,38
1016662,38
1016821,221
1016823,221
1016825,221
1016826,221
1016827,221
1016828,221
1016829,221
1016830,221
1016831,221
1016833,221
1016835,221
1016836,221
1016837,221
1016840,221
1016841,221
1016842,221
1016843,221
1016845,221
1016846,221
1016848,221
1016849,221
1016850,221
1016851,221
1016852,221
1016853,221
1016854,221
1016871,221
1016872,221
1016873,221
1016874,221
1016875,221
1016876,221
1016877,221
1016879,221
1016880,221
1016881,221
1016882,221
1016883,221
1016884,221
1016886,221
1016900,221
1016902,221
1016903,221
1016904,221
1016926,221
1016927,221
1016928,221
1016929,221
1016930,221
1016931,221
1016932,221
1016938,221
1016999,221
1017,182
1017000,221
1017021,38
1017022,38
1017033,38
1017034,38
1017035,38
1017036,38
1017037,38
1017051,38
1017052,38
1017053,38
1017054,38
1017055,38
1017056,38
1017057,38
1017062,38
1017063,38
1017064,38
1017065,38
1017066,38
1017072,38
1017075,38
1017080,38
1017081,38
1017082,38
1017085,38
1017086,38
1017090,38
1017091,38
1017095,38
1017097,38
1017099,38
1017101,38
1017109,123
1017110,38
1017117,38
1017119,38
1017120,38
1017128,38
1017129,38
1017132,38
1017143,38
1017152,38
1017155,38
1017157,38
1017158,187
1017159,38
1017167,38
1017171,38
1017172,38
1017173,123
1017179,38
1017180,38
1017182,123
1017183,38
1017184,38
1017186,38
1017189,38
1017192,38
1017195,38
1017197,38
1017199,38
10172,194
1017200,38
1017201,38
1017202,187
1017207,38
1017215,38
1017220,123
1017221,38
1017229,38
1017230,38
1017241,38
1017242,38
1017243,38
1017245,38
1017247,38
1017252,38
1017254,38
1017258,38
1017263,38
1017269,38
1017272,38
1017277,38
1017287,38
1017288,38
1017289,38
1017291,38
1017292,38
1017320,38
1017321,38
1017322,38
1017323,38
1017325,38
1017330,38
1017336,38
1017340,38
1017341,38
1017342,38
1017343,38
1017345,38
1017347,38
1017349,38
1017350,38
1017352,38
1017354,38
1017356,38
1017357,38
1017359,38
1017360,38
1017362,38
1017366,38
1017367,38
1017370,38
1017377,38
1017379,38
1017381,38
1017385,38
1017387,38
1017390,38
1017401,38
1017418,38
1017427,38
1017436,38
1017439,221
1017441,221
1017442,38
1017446,221
1017447,221
1017451,38
1017452,38
1017453,38
1017454,38
1017455,38
1017456,38
1017457,38
1017459,38
1017460,38
1017461,38
1017462,38
1017463,38
1017465,221
1017466,221
1017467,221
1017473,38
1017474,38
1017475,38
1017476,38
1017477,38
1017478,38
1017481,38
1017482,38
1017483,38
1017484,38
1017486,38
1017487,38
1017488,38
1017489,38
1017490,38
1017491,38
1017492,38
1017493,38
1017497,38
1017498,38
10175,221
1017507,63
1017508,166
1017509,123
1017510,194
1017511,139
1017514,166
1017515,216
1017516,225
1017519,221
1017529,221
1017530,194
1017531,51
1017532,194
1017533,194
1017534,115
1017539,186
1017540,129
1017541,123
1017542,221
1017543,221
1017544,221
1017545,51
1017546,194
1017548,164
1017549,164
1017550,164
1017551,115
1017552,164
1017553,221
1017554,221
1017555,221
1017556,221
1017557,221
1017558,221
1017559,164
1017563,221
1017564,164
1017565,164
1017566,221
1017567,164
1017577,221
1017578,221
1017579,164
1017580,221
1017581,221
1017582,221
1017591,221
1017626,221
1017627,221
1017628,164
1017629,221
1017630,164
1017631,221
1017632,221
10177,123
10178,216
10179,216
1017981,229
1017982,186
1017983,71
1017985,129
1017987,187
1017988,123
10180,216
1018009,216
1018012,216
1018013,225
1018022,187
1018023,225
1018024,216
1018025,166
1018026,141
1018027,187
1018028,187
1018029,221
1018030,123
1018031,166
1018032,123
1018033,166
1018040,186
1018041,216
1018042,221
1018043,225
1018045,70
1018046,225
1018047,63
1018048,38
1018049,129
1018050,187
1018051,166
1018052,38
1018053,194
1018054,221
1018055,51
1018056,63
1018057,63
1018059,186
1018060,139
1018061,221
1018062,139
1018063,225
1018064,38
1018065,38
1018066,139
1018067,225
1018068,225
1018070,216
1018071,225
1018072,160
1018073,63
1018074,225
1018075,129
1018076,115
1018077,63
1018079,115
1018080,225
1018081,221
1018082,225
1018083,115
1018084,160
1018085,139
1018086,63
1018087,63
1018088,214
1018089,115
1018090,156
1018091,156
1018093,156
1018094,156
1018095,156
1018096,166
1018097,123
1018098,166
1018099,166
10181,225
1018100,186
1018101,221
1018102,139
1018103,139
1018104,139
1018105,139
1018107,164
1018112,21
1018113,139
1018115,63
1018116,187
1018117,63
1018118,216
1018119,216
1018120,21
1018121,139
1018122,166
1018123,139
1018124,139
1018125,164
1018126,216
1018127,21
1018128,139
1018129,71
1018130,139
1018131,139
1018132,216
1018133,123
1018134,166
1018135,216
1018136,216
1018137,166
1018138,164
1018139,216
1018140,123
1018141,166
1018142,216
1018144,225
1018145,225
1018146,38
1018147,63
1018148,139
1018149,139
1018150,164
1018151,71
1018152,139
1018153,139
1018154,139
1018155,216
1018156,139
1018157,216
1018158,21
1018159,21
1018160,225
1018161,216
1018162,216
1018164,216
1018165,225
1018166,139
1018175,63
1018176,38
1018177,139
1018178,139
1018179,139
10182,216
1018275,166
1018276,63
10183,216
10184,216
10185,221
10186,191
1018627,221
1018628,221
1018629,221
1018630,164
1018637,164
1018638,221
1018639,221
1018640,164
1018641,221
1018642,164
1018643,221
1018644,221
1018645,221
1018648,58
1018649,156
1018650,164
1018651,164
1018652,129
1018653,129
1018654,129
1018655,164
1018656,164
1018657,186
1018658,129
1018659,194
1018660,129
1018661,194
1018662,194
1018663,129
1018664,136
1018665,129
1018666,123
1018667,129
1018668,194
1018669,194
1018671,194
1018672,58
1018673,129
1018674,194
1018675,129
1018676,194
1018677,129
1018678,160
1018679,129
1018680,194
1018681,194
1018682,194
1018683,129
1018684,123
1018685,194
1018686,194
1018687,129
1018688,194
1018689,194
1018690,194
1018691,164
1018692,129
1018693,164
1018694,186
1018695,186
1018696,186
1018697,186
1018698,186
1018699,47
10187,194
1018700,129
1018701,186
1018702,51
1018703,191
1018704,194
1018705,194
1018706,129
1018707,129
1018708,194
1018709,115
1018710,191
1018711,194
1018712,123
1018713,186
1018714,194
1018715,123
1018716,194
1018717,129
1018718,191
1018719,25
1018720,129
1018721,137
1018722,154
1018723,191
1018724,194
1018725,129
1018726,129
1018727,129
1018728,129
1018729,194
1018730,194
1018731,59
1018732,129
1018733,194
1018734,221
1018735,123
1018736,129
1018737,129
1018738,123
1018739,129
1018740,129
1018741,194
1018742,191
1018743,191
1018744,194
1018745,194
1018746,191
1018747,129
1018751,129
1018752,129
1018753,194
1018755,194
1018757,194
1018758,194
1018761,164
1018762,164
1018763,164
1018764,164
1018766,164
1018768,164
1018769,164
1018770,164
1018779,164
1018780,164
1018781,164
1018782,164
1018783,11
1018784,164
1018785,194
1018786,129
1018789,58
1018791,164
1018792,129
1018793,129
1018794,194
1018795,194
1018796,194
1018797,129
1018798,129
1018799,123
10188,160
1018800,129
1018808,129
1018809,194
1018810,123
1018811,129
1018812,129
1018813,129
1018814,129
1018815,194
1018817,129
1018818,129
1018819,194
1018821,194
1018822,194
1018823,129
1018824,129
1018825,194
1018826,186
1018828,129
1018829,129
1018849,221
1018850,194
1018851,194
1018852,127
1018880,129
1018886,136
1018888,10
1018890,123
1018891,14
1018892,129
1018893,194
1018895,129
1018896,194
1018897,129
1018899,194
10189,164
1018900,194
1018902,186
1018936,129
1018940,129
1018941,129
1018942,194
1018946,194
1018947,194
1018948,194
1018949,129
1018952,194
1018953,129
1018954,129
1019,227
10190,229
1019051,194
1019052,221
1019054,194
1019055,127
1019077,11
1019078,13
1019080,7
1019082,127
1019083,194
1019086,113
1019087,194
1019089,129
1019091,129
1019093,129
1019094,186
1019097,131
1019099,129
10191,227
1019100,129
1019101,186
1019102,129
1019103,194
1019104,186
1019105,129
1019107,129
1019108,129
1019109,129
1019110,194
1019138,129
10192,225
1019238,123
1019239,71
1019253,129
1019255,194
1019256,194
1019257,194
1019258,194
1019259,186
1019262,191
1019266,129
1019269,164
1019270,191
1019271,191
1019272,194
1019273,191
1019275,194
1019276,194
1019277,186
1019278,186
1019279,194
1019280,194
1019281,191
10193,187
1019315,194
1019316,194
1019317,194
1019319,221
1019322,194
1019323,156
1019324,129
1019357,129
1019358,129
1019359,129
1019360,129
1019361,129
1019362,129
1019363,129
1019377,14
1019378,215
1019379,215
1019380,215
1019381,62
10194,216
10195,227
1019508,215
1019509,5
1019510,45
1019511,2
1019512,14
1019513,13
1019514,2
1019515,15
1019516,61
1019517,70
1019518,121
1019519,67
1019520,15
1019521,52
1019522,2
1019523,40
1019524,147
1019525,31
1019526,2
1019534,62
1019535,147
1019537,36
1019539,62
1019541,221
1019542,14
1019543,14
1019544,140
1019545,148
1019546,11
1019547,147
1019548,19
1019549,15
1019550,33
1019551,164
1019552,216
1019554,14
1019555,148
1019557,15
1019558,164
1019559,14
1019560,19
1019561,164
1019562,164
1019563,186
1019564,225
1019565,230
1019566,5
1019568,1
1019569,32
1019570,60
1019572,1
1019573,1
1019575,27
1019576,14
1019578,12
1019579,88
1019580,14
1019581,14
1019583,14
1019584,13
1019586,5
1019587,9
1019589,21
1019591,15
1019592,13
1019593,15
1019595,21
1019596,125
1019597,15
1019598,62
1019599,141
10196,164
1019600,15
1019601,115
1019602,14
1019603,14
1019604,14
1019605,19
1019606,2
1019607,40
1019608,55
1019609,198
1019610,61
1019611,14
1019612,14
1019614,4
1019615,152
10197,225
1019708,14
1019710,62
1019713,2
1019714,161
1019715,24
1019716,14
1019717,14
1019718,62
1019719,142
1019720,57
1019721,14
1019723,13
1019724,62
1019725,14
1019726,88
1019727,62
1019728,14
1019729,140
1019730,14
1019731,155
1019732,4
1019733,14
1019734,167
1019735,19
1019736,14
1019737,14
1019738,62
1019739,60
1019740,215
1019741,14
1019742,167
1018631,164
1018632,164
1018633,221
1018634,164
1018635,221
1018636,221
1018802,129
1018803,129
1018804,58
1018806,38
1018807,194
1016666,38
1016669,38
1016677,38
1016680,38
10167,217
1016819,221
1016820,221
1018015,216
1018016,216
1018017,225
1018018,186
1018019,194
1018020,160
1018021,221
1019527,206
1019528,148
1019529,2
1019530,62
1019531,36
1019532,62
1019533,148
10173,194
1017302,38
1017305,38
1017309,38
1017314,38
1017317,38
1017318,38
1021370,38
1021371,38
1021372,38
1021373,38
1021374,38
1021376,38
1021377,38
1021378,38
1021379,38
1021380,38
1021381,38
1021382,38
1021383,123
1021384,38
1021385,38
1021386,38
1021387,38
1021388,38
1021389,38
1021390,38
1021391,38
1021392,38
1021393,123
1021394,38
1021395,38
1021396,38
1021397,38
1021398,38
1021399,38
10214,166
1021401,38
1021403,38
1021404,38
1021405,38
1021406,38
1021407,38
1021408,38
1021409,38
1021410,38
1021411,38
1021412,38
1021414,38
1021415,38
1021416,38
1021417,38
1021418,38
1021419,123
1021420,38
1021421,38
1021423,123
1021424,187
1021425,38
1021431,123
1021448,38
1021449,38
1021450,38
1021462,38
1021464,6
1021465,72
1021466,123
1021467,38
1021471,38
1021478,123
1021483,38
1021484,189
1021487,38
1021488,187
1021489,221
1021490,146
1021492,166
1021494,8
1021496,38
1021497,121
1021498,204
1021499,96
1021503,224
1021504,225
1021505,204
1021506,204
1021507,25
1021508,204
1021509,204
1021510,148
1021511,156
1021512,204
1021514,167
1021516,225
1021518,12
1021520,187
1021521,38
1021522,14
1021540,38
1021545,38
1021571,38
1021653,38
1021654,38
1021656,38
1021658,38
1021659,139
1021660,216
1021666,221
1021667,221
1021668,221
1021669,123
1021670,160
1021672,123
1021674,225
1021675,38
1021676,38
1021677,38
1021678,38
1021679,38
1021680,38
1021681,38
1021682,38
1021683,38
1021684,38
1021685,38
1021686,38
1021687,38
1021688,38
1021689,38
1021690,38
1021691,38
1021692,38
1021693,38
1021694,38
1021695,38
1021696,38
1021697,38
1021698,38
1021699,38
1021700,38
1021701,38
1021702,38
1021703,38
1021705,38
1021706,38
1021708,38
1021709,38
1021710,38
1021712,38
1021716,38
1021751,38
1021757,38
1021760,38
1021772,38
1021776,38
1021777,38
1021779,38
1021788,38
1021790,38
1021796,38
1021848,123
1021869,38
1021876,38
1021878,38
1021896,38
1021897,38
10219,129
1021900,38
1021904,38
1021905,38
1021906,38
1021909,38
1021950,87
1021959,38
1021965,38
1021972,38
1021984,38
1021999,38
1022,225
1022005,38
1022026,38
1022027,38
1022031,38
1022032,38
1022033,38
1022036,38
1022037,38
1022038,38
1022039,38
1022040,38
1022041,38
1022042,38
1022043,38
1022044,38
1022045,38
1022046,38
1022047,38
1022048,38
1022049,38
1022050,38
1022051,38
1022052,38
1022053,38
1022054,38
1022055,38
1022056,38
1022057,38
1022058,38
1022059,38
1022060,38
1022061,38
1022062,38
1022063,38
1022064,38
1022065,38
1022067,38
1022068,38
1022069,38
1022070,38
1022071,38
1022072,38
1022073,38
1022074,38
1022075,38
1022076,38
1022077,38
1022078,38
1022079,38
1022081,38
1022082,38
1022083,38
1022084,38
1022085,38
1022086,38
1022087,38
1022088,38
1022089,38
1022090,38
1022091,38
1022092,38
1022093,38
1022094,38
1022095,38
1022096,38
1022097,38
1022098,38
1022099,38
10221,71
1022100,38
1022101,38
1022102,38
1022103,38
1022104,38
1022105,38
1022106,38
1022107,38
1022108,38
1022109,38
1022110,38
1022111,38
1022112,38
1022113,38
1022114,38
1022116,38
1022117,38
1022119,38
1022123,38
1022124,38
1022127,38
1022130,38
1022131,38
1022132,38
1022134,38
1022135,38
1022136,38
1022140,38
1022141,38
1022142,38
1022143,38
1022148,38
1022157,38
1022159,38
1022162,38
1022169,38
1022174,38
1022181,38
1022184,38
1022188,38
1022195,38
1022196,38
1022199,38
1022201,38
1022203,38
1020641,7
1020642,62
1020643,14
1020645,221
1020646,2
1020647,14
1020648,33
1020650,2
1020654,14
1020655,14
1020656,14
1020657,2
1020658,13
1020661,15
1020662,52
1020663,227
1020664,40
1020666,2
1020670,143
1020671,14
1020683,2
10207,229
1020703,8
1020704,14
1020705,64
1020706,2
1020707,4
1020709,14
1020711,147
1020712,33
1020714,14
1020715,5
1020716,73
1020717,74
1020721,14
1020723,61
1020724,114
1020725,14
1020739,14
1020740,33
1020797,9
10208,194
1020860,61
1020896,9
10209,189
1020947,14
1021155,38
1021156,38
1021157,38
1021158,38
1021159,38
1021161,38
1021162,38
1021163,38
1021164,38
1021165,38
1021166,38
1021167,38
1021168,38
1021169,38
1021170,38
10212,63
1021204,38
1021209,38
1021210,38
1021211,38
1021256,38
1021271,38
1021272,38
1021273,38
1021274,38
1021275,38
1021276,38
1021277,38
1021278,38
1021279,38
1021280,38
1021281,38
1021282,38
1021283,38
1021284,38
1021285,38
